Row Reviewer,Author,Year,Methods,Title,Did they clearly define hotspot?,Hotspot Type,Hot Spot Definition,Types of Orgs,Journal,Lat,Lon,Location,Depth,Summary,Persistence examined?,Drivers Directly Observed,Condensed_obs_drivers,Drivers Suggested,Condensed_ sug_drivers,Notes,Review complete?
Conner,Valavanis et al.,2004,"Fishery, Satellite, Model",Critical regions: A GIS-based model of marine productivity hotspots,Y,Abundance/Density,"Marine productivity hotspots are ""areas of high chlorophyll concentration and low temperature distribution"" that are ""critical areas for fish aggregation for mating, spawning and feeding as well as for fish production through regional and local fishing operations.""","bony fish,mollusks",Aquatic Sciences,38,25,Mediterranean Sea,surface,"Looked at geographic distribution of SST and chlorophyll a anomalies using satellite data in the Eastern Mediterranean to create a GIS hotspot predictive model. The authors combined satellite data from various organizations to examine chlorophyll a and SST, and utilized catch per unit effort (CPUE) data to estimate monthly fisheries production of European sardine, anchovy, long-finned and short-finned squid from the Management System of Hellenic Fisheries Resources (MSHFR). The authors input all of this information into ArcGIS and then used several utilities to construct a model which included climatology, anomaly, integration, and output modules. The authors were interested in low SST and high chlorophyll a anomalies. Model results showed a mean hotspot size of 32.2 km², and 10.3% of the study region demonstrated the high chlorophyll a/low SST anomalies. The spatial distribution of species catches coincided with hotspots; particularly for long-finned squid and anchovy. The largest hotspots were in the northern part of the study area where a river plume and inflow from the Black Sea occurs. Monitored fishery locations and the productivity hotspots overlapped, especially for long-finned squid, which could be due to their high mobility while searching for food. Productivity hotspots were also found where fishing doesn't occur, likely due the distance it would take boats to reach them. These could be new MPAs or kept as alternative fishing grounds, which are important for conservation and management.",N,"SST, chl-a","temperature, primary productivity",,,,
Dan,Hastie et al.,2004,"Survey, Model",Functional mechanisms underlying cetacean distribution patterns: hotspots for bottlenose dolphins are linked to foraging,N,Foraging,Areas of high foraging activity?,cetaceans,Marine Biology,57.325,-4.5,UK,surface,"This study documented dolphin foraging behavior on fine spatial scale off NE Scotland. Data from 104 boat based surveys from 1990-2000 was analyzed to determine dolphin density and document behaviors. From 1997-1999 shore observers followed focal groups of dolphins using a video camera and theodolite from a station 90 m above sea level. 127 dolphin behavior samples were collected with these shore observing methods. The density of dolphin schools were estimated via kernel density in Arc. The authors then created a generalized linear model incorporating fish and porpoising and found that areas of high use by dolphins were linked with feeding, and that these areas tended to have steep seabed gradients, and a significant relationship was observed between foraging behavior and water depth. Future work would include characterization of the prey distribution.",N,"depth, bathymetry",bathymetry,,,,
Steph,Drake & Lodge,2004,Database,Global hotspots of biological invasions: evaluating options for ballast-water management,N,Invasives,Areas of high invasive species risk,none,The Royal Society,NA,NA,Global,surface,"The authors examined current invasion rates around the world by compiling data on the number of ships that visit 243 ports linking that with port-to-port voyage probabilities to find potential invasion risk hotspots. They identifed the ports most likely to be sites of invasive introductions, and used a stochastic model to estimate the time to an invasion via ballast water in critical ports or reducing the number of organisms in ballast water globally. The authors state that the hotspots they identify can serve as stepping-stones in global spread events. They found that ports with large numbers of non native species had minimal consequence, though this may be due to a lack of data or a given ecosystem's resilience to resist invasion. In addition, invasions were increasing in some places and decreasing in others. The overall conclusion was that reducing visitation rates to different ports would be more effective than eliminating high risk ports by preventing homogenziation of invasives in ballast water around the world. ",N,"vistitation rate, ballast water",shipping,,,,Y
Steph,Hooker & Gerber,2004,Review,Marine Reserves as a tool for ecosystem-based management: The potential importance of megafauna,Y,Abundance/Density,"Areas of increased productivity,
in terms of the abundance of organisms within
the area relative to other oceanic areas","pinnipeds,cetaceans,fissipeds,sirenians",BioScience,NA,NA,Global,"surface,mid,demersal","This was an effort as a result of a symposium at the annual meeting of the Society for Conservation Biology. Conservation efforts should be moving away from single species approaches and taking a more holistic tactic by looking at ecosystems, assemblages, and communities. The connectivity of marine systems and range of many top predators makes defining reserve boundaries difficult, particularly when implementing reserves with the goal of protecting these predators. Many reserves in the past were on paper only, with no management or enforcement backup. The authors then decided to focus on the impact of reserves on marine top predators and multispecies/multipurpose reserves with the addition of fishery enhancement. Even though marine mammals have massive ranges, the protection of parts of these could still be beneficial as threats can be either site specific or cumulative. Until recently, most reserves were not developed with a rigorous scientific basis, and employed more of an ad hoc design. The authors suggest including demographic modeling and mortality to assess effectiveness of protection when designing reserves, with fecundity being most important for short lived species and adult/juvenile survival for long-lived species. Species interactions should also be accounted for, as they could alter desired reserve outcomes. To address the potential competing demands of protecting top predators and fisheries, a reserve area could be split in two with one focused on ecosystem integrity and the other on fishery production. They launch into a brief discussion on hotspots and propose their own definition as areas of increased productivity relative to other ocean areas, and that there is increasing evidence that predators could serve as indirect indicators of prey abundance and distributions. They advocate for quantitative methods to identify reserve areas, and that scientists and managers must commit to robust plans for monitoring and policing to ensure their efforts aren’t futile, as well as public buy-in, perhaps the most important. ",N,none,none,"upwelling,diet,habitat","circulation, species attributes, habitat",Good discussion of biodiversity hotspots and other ways marine hotspots have been defined,Y
Steph,Semmens et al.,2004,Database,A hotspot of non-native marine fishes: evidence for the aquarium trade as an invasion pathway,N,Invasives,Areas with high non indigenous species,bony fish,Marine Ecology Progress Series,28.28,-80.589,Florida,"demersal,mid","Looked at introduction pathways of non-native tropical fish off the coast of Florida by compiling data from Reef Environmental Education Foundation (REEF) and the National Ballast Information Clearhinghouse Database filtered for ships visiting Florida from distinct locations. To determine which source was likely responsible for the introductions, a randomization procedure was performed and repeated 50,000 times to estimate import abundance from random samples. Shipping traffic and regional species richness were used to assess whether ballast water was a source. All species under study have been imported under the aquarium trade in the past, and their native origins contribute nearly 10% of all shipping traffic to Florida. Analyses revealed it to be more likely the fish escaped from aquaria or were released rather than transported in ship ballast, though ballast water could still be a vector. Future work must determine the density and reproductive status of the introduced species in order to proactively prevent their establishment and altering of local ecosystems.",N,"live trade, shipping, ballast water",shipping,,,,Y
Z,Yen et al.,2004,Survey,Marine bird and cetacean associations with bathymetric habitats and shallow-water topographies: implications for trophic transfer and conservation,N,Abundance/Density,Something about habitat and persistent aggregations/associations of seabirds and cetaceans with bathymetric features,"seabirds,cetaceans",Journal of Marine Systems,37.729,-122.994,California Current,surface,"The authors used the rockfish recruitment and assessment survey to document seabird and cetacean abundance in the Farrolone Islands, Cordell Bank, and Monterey Bay National Marine Sanctuaries. They assessed the area based off upwelling center points of Davenport and Point Reyes. They looked at whether species distributions were autocorrelated using Moran's I prior to assessing bathymetric habitat association. Once satisfied, ArcGIS was employed to look at predator spatial distributions with respect to median depth, depth coefficient of variation, contour index, shortest distance to the mainland, continental shelf break, continental slope, the centroids of Cordell Bank, Farallon Archipelago, and Monterey Canyon. Species presence data was scored for 0-3 based on the 33rd and 66th percentiles. Autocorrelation was found for only 2 of 8 species studied, the cassin's auklet and common murre. Each predator showed a unique habitat association. Cetaceans showed less than birds and were more often offshore and associated with the 1000m isobath and steep, dynamic bathymetry. Cetaceans did show greater persistence than seabirds in associations with habitat, though no temporal trends across years. They briefly touched on central place foraging of auklets and prey switching of murres from anchovy to juvenile rockfish in response to changing ocean conditions. Closing with conservation implications, they noted that bathy features are predictabe important habitat types that help concentrate prey and could be important areas to protect as a result. ",N,"habitat, bathymetry, distance to coast, canyons, depth","habitat, bathymetry, distance to physical features",,,,
Conner,Worm et al.,2005,Fishery,Global patterns of predator diversity in the open oceans,Y,Diversity & Endemism,"""Areas of high species diversity that may represent important oceanic habitats and hold particular value for biodiversity concentration.""","bony fish,plankton",Science,NA,NA,Global,surface,"The authors looked at billfish and tuna diversity around the world over a 50 year period. They used Japanese longlining data from 1990-1999 gridded into 5 degree cells and rarefaction to standardize for effort. Then they calculated species diversity and density, citing that density is more relevant for management. Results showed that hotspots of species density and richness were mostly in the sub-tropics (Eastern coasts of the US and Australian, south of Hawaii, east of Sri Lanka, and the SE Pacific). These results were compared to scientific observer data from Atlantic and Pacific longline fisheries that included sightings of fishes, sharks, rays, cetaceans, turtles, and seabirds. They found that tuna and billfish density were correlated with other predators as well as foraminiferan zooplankton, suggesting tuna and billfish diversity could be useful indicators/proxies for general marine predator and zooplankter density. Mean temperature, SST gradients, and oxygen concentrations were the main factors explaining species distributions. They briefly discuss how fronts and eddies serve as predator aggregating features, whether changes in catchability were a factor in species richness (they weren't), and that some species would extend their vertical range in response to El Niño. They conclude by stating that fishing pressure likely causes long-term frequency variation in fish communities, but climate is responsible for year-to-year variation which underlies decadal trends. They suggest more work is needed to resolve nearshore variation. The results can be used to inform management and conservation, define priorty areas, and effectively allocate resources.",N,"temperature, SST, oxygen","temperature, DO",,,,
Gemma,Camphuysen & van der Meer,2005,"Survey, Acoustics",Wintering seabirds in West Africa: Foraging hotspots off Western Sahara and Mauritania driven by upwelling and fisheries,N,Fisheries & Bycatch,Areas of high predator density,seabirds,African Journal of Marine Science,20.986,-17.337,Northeast Atlantic (Mauritania),surface,"Conducted visual transect surveys off Mauritania to document seabird abundance and distribution in association with fishing fleets. They subdivided the survey area, 214 km sq, into deep ocean, shelf water, and shelf-break zones. Found that the fleet was evenly distributed but seabirds were usually associated with the fleet in uneven patches, with ~40% of the birds associated with boats. Foraging hotspots were at the shelf break where the salinity and SST changed noticeably, perhaps related to local upwelling dynamics.",N,"Water depth, surface temperature,
 surface salinity, phytoplankton fluorescence, conductivity and
 dissolved oxygen, distance from shelf break","bathymetry, fishing, salinity, temperature, circulation",Upwelling,,,Y
Gemma,Cotte & Simard,2005,"Survey, Acoustics",Formation of dense krill patches under tidal forcing at whale feeding hot spots in the St Lawrence Estuary,Y,Foraging,Areas of high prey concentration,"cetaceans,bony fish,krill",Marine Ecology Progress Series,48.176,-69.403,Laurentian Channel (East Canada),"surface,mid","Documented the formation of an ephemeral food web in the Laurentian Channel based on tides via a SWATH and trawl vessel using EK60 to map bioscattering and a CTD to sample chl. Found krill were concentrated against topographic features at flood tides which made them easily exploited by fish and bulk feeding whales. Theorized that concentration and patchiness helped krill avoid visual predators and sense them via warning signals. Created maps of SST, salinity, and chl by kriging data. Found that krill were in high density between 100-150m of water, that currents during flood tide condensed krill against the bank. Small fish were primarily capelin with stomachs full of mostly copepods and some krill. Fish schools were often close to krill, and krill displayed negative phototactism as a means of visual predator avoidance. However, when the tide shifts, it aggregates the krill into dense patches for a few hours which large predators can take advantage of (""sets the table"").",N,"Tidal currents, salinity, temperature, light, chlorophyll","circulation, bathymetry",Predation avoidance by krill,light,,Y
Gemma,Leslie et al.,2005,"Experiment, Survey",Barnacle reproductive hotspots linked to nearshore ocean conditions,Y,Reproduction & Recruitment,"""markedly higher reproductive output""",crustaceans,PNAS,44.33,-124.1,California Current (Oregon),demersal,"Examined variation in reproduction of an intertidal barnacle at different locations on the central Oregon Coast, with sites near Cape Perpetua and Cape Foulweather. Used the species as a proxy for others given life history similarities with many other marine organisms. Conducted field transplant experiments and surveys of three sites at each location to document differences in recruitment and reproductive capacity. They found that reproduction and density were markedly higher at Cape Perpetua, which is known to have nutrient rich and highly productive waters from upwelling, implying a bottom up mechanism. The authors argue reproductive hotspots should be considered for marine reserves or protected areas since they likely serve as important source populations. ",N,"nutrients, upwelling","nutrients, circulation",,,,Y
Conner,Palacios et al.,2006,Satellite,Oceanographic characteritiscs of biological hot spots in the North Pacific: A remote sensing perspective,Y,Abundance/Density,"""Locations where organisms concentrate regularly or where there is high biological activity...""",many,Deep Sea Research II,"10, 35, 35, 10, 0","-100, -179, -125, -80, -90","California Current,Galápagos Islands,central North Pacific,northeastern tropical Pacific","surface,mid,demersal","Characterized biological hotspots by describing the oceanographic characteristics of 4 major hotspot areas around the globe; the California Current System, the Galápagos Islands, central North Pacific, and northeastern tropical Pacific. The paper provides a brief overview of biological hotspots, and their importance to ecosystem-based management. Methods of identifying hotspots have often used an organism’s point of view, either using tag data or describing the environment they reside in. For each hotspot, bathymetry, sea-level anomalies, ocean color, and SST were extracted and averaged over differing time scales depending on data availability and system properties. In addition to being areas where predators congregate, the authors also acknowledge that hotspots can be migratory corridors or reproduction sites. Common characteristics to many of the hotspots were the effects of bathymetry and coastal forcing, often in tandem with winds. While many hotspots are ephemeral, those described in this paper tended to be more robust given the permanence of the oceanographic features behind them. For instance, in the CCS, long-lived mesoscale eddies result in the retention of coastal pelagic fish species. Similarly, a lot of variation in the CNP is due to eddies originating from the Kuroshio Extension. Subsurface waves also have similar effects in other areas. El Niño and La Niña also have pronounced effects on hotspots as they either enhancing or suppressing oceanographic processes (e.g., upwelling). The authors conclude by describing exciting advances in biologging, though they highlight the drawbacks including uneven sampling, inability of some features to be sampled, physiological limitations, and tag duration. They summarize by stating that regions which encompass hotspots should be protected, perhaps in a dynamic style based on immediate need.",Y,"bathymetry, sea level anomaly, chl-a, SST, eddies, upwelling","bathymetry, circulation, temperature, primary productivity",,,Include in review for sure,
Conner,Polovina et al.,2006,"Biologging, Satellite",The Kuroshio Extension Bifurcation Region: A pelagic hotspot for juvenile loggerhead sea turtles,Y,Abundance/Density,"Regions (e.g., the Kuroshio Extension Bifurcation Region) of ""relatively high juvenile loggerhead density"" that are important for foraging.",sea turtles,Deep Sea Research II,31,170,Kuroshio Current,surface,"The authors examined how the Kuroshio Current region served as forage habitat for juvenile loggerhead turtles. They analyzed the satellite tracks from two different groups of turtles, some that were fishery bycatch and others that were raised in captivity and released. They evaluated the tracks with sea surface height (SSH) and chlorophyll-a from satellite imagery. Authors used medians instead of means to evaluate turtle movement speed given the heavily skewed nature of the distribution. SSH data were mapped at 0.3 degree resolution and chlorophyll-a in a 4.89 km pixel resolution. Tracks revealed that turtles were using the perimeter of warm core eddies. Turtles from both groups traveled to the KEBR and stayed there upon arriving, indicating it is an abundance hotspot. The authors propose this likely has to do with prey. Turtles moved out of the KEC areas and into the TZCF in the third quarter of the year when chlorophyll-a levels are low. Turtles were shown to use both cyclonic and anticyclonic eddies, the latter of which was suprising since upwelling occurs at the center and not the edge. It could be that shallow water prey concentrate on the edge and turtles take advantage of this. ",N,"SSH, chl-a, currents, primary productivity, eddies","circulation, primary productivity",,,,
